Modelo,Accuracy,Precision,Recall,F1-Score,ROC-AUC
Logistic Regression,0.7903930131004366,0.3620689655172414,0.65625,0.4666666666666667,0.86373730964467
Random Forest,0.8951965065502183,0.625,0.625,0.625,0.9136262690355329
Gradient Boosting,0.9213973799126638,0.7692307692307693,0.625,0.6896551724137931,0.9006979695431473
